locs,techs,timesteps,resource_con
N1,solar,2021-02-09 16:00:00,0.30659200000000003
N1,solar,2021-02-09 18:00:00,0.0
N1,solar,2021-02-09 20:00:00,0.0
N1,solar,2021-02-09 22:00:00,0.0
N1,solar,2021-02-10 00:00:00,0.0
N1,solar,2021-02-10 02:00:00,0.0
N1,solar,2021-02-10 04:00:00,0.0
N1,solar,2021-02-10 06:00:00,0.582816
N1,solar,2021-02-10 08:00:00,1.4125280000000002
N1,solar,2021-02-10 10:00:00,1.5444
N1,solar,2021-02-10 12:00:00,1.402128
N1,solar,2021-02-10 14:00:00,0.9108320000000001
N1,solar,2021-02-10 16:00:00,0.23108800000000002
N1,solar,2021-02-10 18:00:00,0.0
N1,solar,2021-02-10 20:00:00,0.0
N1,solar,2021-02-10 22:00:00,0.0
N1,solar,2021-02-11 00:00:00,0.0
N1,solar,2021-02-11 02:00:00,0.0
N1,solar,2021-02-11 04:00:00,0.0
N1,solar,2021-02-11 06:00:00,0.307424
N1,solar,2021-02-11 08:00:00,1.045824
N1,solar,2021-02-11 10:00:00,1.3908960000000001
N1,solar,2021-02-11 12:00:00,1.413776
N1,solar,2021-02-11 14:00:00,1.166048
N1,solar,2021-02-11 16:00:00,0.435136
N1,solar,2021-02-11 18:00:00,0.0
N1,solar,2021-02-11 20:00:00,0.0
N1,solar,2021-02-11 22:00:00,0.0
N1,solar,2021-02-12 00:00:00,0.0
N1,solar,2021-02-12 02:00:00,0.0
N1,solar,2021-02-12 04:00:00,0.0
N1,solar,2021-02-12 06:00:00,0.42660800000000004
N1,solar,2021-02-12 08:00:00,1.2055679999999998
N1,solar,2021-02-12 10:00:00,1.447264
N1,solar,2021-02-12 12:00:00,1.366976
N1,solar,2021-02-12 14:00:00,0.9986079999999999
N1,solar,2021-02-12 16:00:00,0.335504
N1,solar,2021-02-12 18:00:00,0.0
N1,solar,2021-02-12 20:00:00,0.0
N1,solar,2021-02-12 22:00:00,0.0
N1,solar,2021-02-13 00:00:00,0.0
N1,solar,2021-02-13 02:00:00,0.0
N1,solar,2021-02-13 04:00:00,0.0
N1,solar,2021-02-13 06:00:00,0.496912
N1,solar,2021-02-13 08:00:00,1.3869440000000002
N1,solar,2021-02-13 10:00:00,1.560416
N1,solar,2021-02-13 12:00:00,1.51528
N1,solar,2021-02-13 14:00:00,1.25112
N1,solar,2021-02-13 16:00:00,0.47257600000000005
N1,solar,2021-02-13 18:00:00,0.0
N1,solar,2021-02-13 20:00:00,0.0
N1,solar,2021-02-13 22:00:00,0.0
N1,solar,2021-02-14 00:00:00,0.0
N1,solar,2021-02-14 02:00:00,0.0
N1,solar,2021-02-14 04:00:00,0.0
N1,solar,2021-02-14 06:00:00,0.469456
N1,solar,2021-02-14 08:00:00,1.091584
N1,solar,2021-02-14 10:00:00,1.287728
N1,solar,2021-02-14 12:00:00,1.214304
N1,solar,2021-02-14 14:00:00,0.718224
N1,solar,2021-02-14 16:00:00,0.13956800000000003
N1,solar,2021-02-14 18:00:00,0.0
N1,solar,2021-02-14 20:00:00,0.0
N1,solar,2021-02-14 22:00:00,0.0
N1,solar,2021-02-15 00:00:00,0.0
N1,solar,2021-02-15 02:00:00,0.0
N1,solar,2021-02-15 04:00:00,0.0
N1,solar,2021-02-15 06:00:00,0.340496
N1,solar,2021-02-15 08:00:00,1.081808
N1,solar,2021-02-15 10:00:00,1.304784
N1,solar,2021-02-15 12:00:00,1.2467519999999999
N1,solar,2021-02-15 14:00:00,0.8089120000000001
N1,solar,2021-02-15 16:00:00,0.215072
N1,solar,2021-02-15 18:00:00,0.0
N1,solar,2021-02-15 20:00:00,0.0
N1,solar,2021-02-15 22:00:00,0.0
N1,solar,2021-02-16 00:00:00,0.0
N1,solar,2021-02-16 02:00:00,0.0
N1,solar,2021-02-16 04:00:00,0.0
N1,solar,2021-02-16 06:00:00,0.39977599999999996
N1,solar,2021-02-16 08:00:00,1.23448
N1,solar,2021-02-16 10:00:00,1.508208
N1,solar,2021-02-16 12:00:00,1.531504
N1,solar,2021-02-16 14:00:00,1.3478400000000001
N1,solar,2021-02-16 16:00:00,0.641472
N1,solar,2021-02-16 18:00:00,0.0
N1,solar,2021-02-16 20:00:00,0.0
N1,solar,2021-02-16 22:00:00,0.0
N1,solar,2021-02-17 00:00:00,0.0
N1,solar,2021-02-17 02:00:00,0.0
N1,solar,2021-02-17 04:00:00,0.0
N1,solar,2021-02-17 06:00:00,0.718224
N1,solar,2021-02-17 08:00:00,1.468272
N1,solar,2021-02-17 10:00:00,1.590576
N1,solar,2021-02-17 12:00:00,1.520688
N1,solar,2021-02-17 14:00:00,1.168128
N1,solar,2021-02-17 16:00:00,0.369408
N1,solar,2021-02-17 18:00:00,0.0
